y variable:,TotalRating,,,,,,,,,,,,,,,
,classification,>3.09,good,,,,,,,,,,,,,
,,<3.09,bad,,,,,,,,,,,,,
x variable,DinnerPrice,LunchPrice,FirstCategory,ReviewNum,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Group member,Jhao Han Chen,,,,,,,,,,,,,,,
,xiaojun zhu,,,,,,,,,,,,,,,
,haiping sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Name,JapaneseName,Station,FirstCategory,SecondCategory,DinnerPrice,LunchPrice,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long,,,
1,Orudeidainingurajou  ,???????????????,Kyoto,Buffet style,Cafe,4500,¥2000~¥2999,3.39,3.2,3.38,56,34.9861751483108,135.761313932311,,,~¥999
2,Steak Frites Gaspard zinzin  ,???????? ????? ????,Karasuma,Bistro,Steak,3500,¥1000~¥1999,3.18,3.06,3.33,70,35.0058257987896,135.759856759688,,,¥1000~¥1999
3,KAZUMA  ,??,Sanjo,Izakaya (Tavern),Japanese food (other),3500,NA,3.28,3.28,NA,7,35.0065825659963,135.770246695295,,,
4,okonomiyakiteppanyakimiki  ,????? ???? ??,Tambaguchi,Okonomiyaki,Izakaya (Tavern),3500,NA,3.14,3.14,NA,16,34.9959244331732,135.748266511467,,,¥3000~¥3999
5,Shaofeiyan  ,??? ??????,Kyoto Shiyakusho Mae,Chinese hot pot / fire pot,Chinese,4500,¥1000~¥1999,3.16,3.16,3.05,23,35.00790072262,135.768201804433,,,¥4000~¥4999
6,okuta-va  ,OCTAVAR,Kyoto,Bar,Italian,4500,¥1000~¥1999,3.08,3,3.11,24,34.9834970882448,135.760559396056,,,¥5000~¥5999
7,Resort dining&bar HaLe  ,Resort dining&bar HaLe ????,Sanjo,Italian,Bar,3500,¥1000~¥1999,3.04,3.05,3,22,35.0071947091437,135.769468120661,,,
8,Sumika  ,??,Kawaramachi,Izakaya (Tavern),Creative cuisine,3500,NA,3.34,3.34,NA,23,35.0047040863454,135.770182117381,,,
9,Gayagaya  ,????,Sanjo,Izakaya (Tavern),Bar,3500,NA,3.03,3.04,NA,3,35.0071741645137,135.76996780233,,,¥8000~¥9999
10,Ishibekoujimamecha  ,???? ??? ??,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,4500,NA,3.56,3.56,NA,92,35.0008130609394,135.779155387735,,,
11,nagoyako-chintokoshitsuizakayatorisai  ,????????????? ?? ????,Sanjo,Izakaya (Tavern),Japanese food (other),3500,NA,3.04,3.04,NA,4,35.0073957953599,135.769274238615,,,¥10000~¥14999
